Class Name;ATFD;CBO;DAC;DIT;LCOM;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZMethodConfiguration;0;6;2;1;2;4;8;2;2;2;18;0;4;16;0;0;8;0.0;0.0;6
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile;1;9;6;1;2;15;452;0;32;11;59;0;34;48;0;0;133;0.2762;1.0;111
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.OutputStreamWrapper;2;2;1;2;3;15;15;0;1;2;28;0;5;26;4;0;15;0.1;1.0;6
com.amaze.filemanager.filesystem.compressed.sevenz.StartHeader;0;1;0;1;0;0;0;0;0;3;15;0;0;12;0;0;0;0.0;0.0;0
com.amaze.filemanager.filesystem.compressed.sevenz.StreamMap;1;3;0;1;0;0;1;0;0;4;17;0;1;13;1;0;1;0.0;0.0;1
com.amaze.filemanager.filesystem.compressed.sevenz.SubStreamsInfo;0;2;1;1;0;0;0;0;0;3;15;0;0;12;0;0;0;0.0;0.0;0
com.amaze.filemanager.filesystem.files.CryptUtil;5;23;3;1;1;57;191;0;14;9;37;0;16;28;0;0;76;0.956;1.0;44
com.amaze.filemanager.filesystem.files.CryptUtil.RSAKeygen;6;1;1;1;1;57;64;0;5;1;19;0;6;18;0;0;53;0.5;1.0;12
com.amaze.filemanager.filesystem.files.EncryptDecryptUtils;0;20;1;1;2;55;52;0;3;1;16;0;3;15;0;0;36;0.0;1.0;15
com.amaze.filemanager.filesystem.files.EncryptDecryptUtils.DecryptButtonCallbackInterface;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.filesystem.files.EncryptDecryptUtils.EncryptButtonCallbackInterface;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.filesystem.files.FileListSorter;1;3;0;1;1;22;48;0;3;3;28;0;4;34;0;0;11;0.3333;1.0;23
