Lines of code metrics,Thu., 14 Oct. 2021 19:19:04 EDT,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
"com.amaze.filemanager.filesystem.compressed.sevenz.SevenZMethodConfiguration.SevenZMethodConfiguration(SevenZMethod,Object)",3,6,14,8,24.56%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZMethodConfiguration.getMethod(),3,4,7,3,12.28%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZMethodConfiguration.getOptions(),3,4,7,3,12.28%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.OutputStreamWrapper.close(),1,0,4,3,10.81%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.OutputStreamWrapper.flush(),1,0,4,3,10.81%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.OutputStreamWrapper.write(byte[]),0,0,4,4,10.81%,,,,,,,,,,
"com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.OutputStreamWrapper.write(byte[],int,int)",0,0,13,13,35.14%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.OutputStreamWrapper.write(int),0,0,8,8,21.62%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.SevenZOutputFile(File),4,6,9,3,1.30%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.SevenZOutputFile(RandomAccessFile),8,11,15,4,2.16%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.close(),4,5,15,10,2.16%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.closeArchiveEntry(),5,4,37,33,5.34%,,,,,,,,,,
"com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.createArchiveEntry(File,String)",4,9,17,8,2.45%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.finish(),13,5,43,34,6.20%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.getContentMethods(SevenZArchiveEntry),0,0,4,4,0.58%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.getCurrentOutputStream(),5,0,11,6,1.59%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.putArchiveEntry(ArchiveEntry),7,9,13,4,1.88%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.reverse(Iterable<T>),0,0,7,7,1.01%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.setContentCompression(SevenZMethod),11,12,15,3,2.16%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.setContentMethods(Iterable<? extends SevenZMethodConfiguration>),12,14,17,3,2.45%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.setupFileOutputStream(),0,0,38,38,5.48%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.write(byte[]),3,5,8,3,1.15%,,,,,,,,,,
"com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.write(byte[],int,int)",3,7,12,5,1.73%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.write(int),3,5,8,3,1.15%,,,,,,,,,,
"com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeBits(DataOutput,BitSet,int)",0,0,15,15,2.16%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFileATimes(DataOutput),1,0,34,34,4.91%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFileAntiItems(DataOutput),0,0,22,22,3.17%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFileCTimes(DataOutput),1,0,34,34,4.91%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFileEmptyFiles(DataOutput),0,0,22,22,3.17%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFileEmptyStreams(DataOutput),0,0,23,23,3.32%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFileMTimes(DataOutput),1,0,34,34,4.91%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFileNames(DataOutput),0,0,14,14,2.02%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFileWindowsAttributes(DataOutput),1,0,33,33,4.76%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFilesInfo(DataOutput),0,0,13,13,1.88%,,,,,,,,,,
"com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeFolder(DataOutput,SevenZArchiveEntry)",0,0,14,14,2.02%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeHeader(DataOutput),0,0,7,7,1.01%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writePackInfo(DataOutput),1,0,19,19,2.74%,,,,,,,,,,
"com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeSingleCodec(SevenZMethodConfiguration,OutputStream)",0,0,15,15,2.16%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeStreamsInfo(DataOutput),0,0,8,8,1.15%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeSubStreamsInfo(DataOutput),9,0,13,4,1.88%,,,,,,,,,,
"com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeUint64(DataOutput,long)",0,0,18,18,2.60%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZOutputFile.writeUnpackInfo(DataOutput),1,0,31,31,4.47%,,,,,,,,,,
com.amaze.filemanager.filesystem.compressed.sevenz.StreamMap.toString(),0,0,7,7,38.89%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.CryptUtil(Context,HybridFileParcelable,ProgressHandler,ArrayList<HybridFile>,String)",13,13,26,12,5.15%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.CryptUtil(Context,HybridFileParcelable,String,ProgressHandler,ArrayList<HybridFile>)",10,12,28,15,5.54%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.RSAKeygen.RSAKeygen(Context),0,0,10,10,10.00%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.RSAKeygen.decryptAESKey(byte[]),1,1,21,20,21.00%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.RSAKeygen.encryptAESKey(byte[]),1,1,14,13,14.00%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.RSAKeygen.generateKeyPair(Context),2,1,23,21,23.00%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.RSAKeygen.getSecretKey(),1,1,14,13,14.00%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.RSAKeygen.setKeyPreference(),2,1,14,12,14.00%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.aesDecrypt(BufferedInputStream,BufferedOutputStream)",4,6,28,22,5.54%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.aesDecryptPassword(String),1,1,10,9,1.98%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.aesEncrypt(BufferedInputStream,BufferedOutputStream)",4,6,28,22,5.54%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.aesEncryptPassword(String),1,1,10,9,1.98%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.decrypt(Context,HybridFileParcelable,HybridFile)",5,6,53,47,10.50%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.decryptPassword(Context,String)",1,1,9,8,1.78%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.encrypt(Context,HybridFileParcelable,HybridFile,String)",7,6,58,50,11.49%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.encryptPassword(Context,String)",1,1,9,8,1.78%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.getSecretKey(),4,4,23,19,4.55%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtil.initCipher(Context),4,4,17,13,3.37%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.rsaDecrypt(Context,BufferedInputStream,BufferedOutputStream)",0,0,24,24,4.75%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.rsaDecryptPassword(Context,String)",0,0,10,10,1.98%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.rsaEncrypt(Context,BufferedInputStream,BufferedOutputStream)",0,0,24,24,4.75%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.CryptUtil.rsaEncryptPassword(Context,String)",0,0,9,9,1.78%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtilTest.setUp(),0,0,4,4,22.22%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtilTest.testEncryptDecrypt(),0,0,6,6,33.33%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.CryptUtilTest.testIvValueIsCorrect(),0,0,4,4,22.22%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.EncryptDecryptUtils.DecryptButtonCallbackInterface.confirm(Intent),1,n/a,n/a,1,33.33%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.EncryptDecryptUtils.DecryptButtonCallbackInterface.failed(),1,n/a,n/a,1,33.33%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.EncryptDecryptUtils.EncryptButtonCallbackInterface.onButtonPressed(Intent),1,n/a,n/a,1,16.67%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.EncryptDecryptUtils.EncryptButtonCallbackInterface.onButtonPressed(Intent,String)",5,n/a,n/a,2,66.67%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.EncryptDecryptUtils.decryptFile(Context,MainActivity,MainFragment,OpenMode,HybridFileParcelable,String,UtilitiesProvider,boolean)",2,0,105,103,60.69%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.EncryptDecryptUtils.findEncryptedEntry(String),5,6,21,14,12.14%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.EncryptDecryptUtils.startEncryption(Context,String,String,Intent)",6,8,21,11,12.14%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileListSorter.FileListSorter(int,int,int)",0,0,5,5,6.58%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileListSorter.compare(LayoutElementParcelable,LayoutElementParcelable)",25,4,60,40,78.95%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorter.getExtension(String),0,0,3,3,3.95%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorter.isDirectory(LayoutElementParcelable),0,0,3,3,3.95%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testDir0File1DirAndFile2NoDir(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testDir0File1NoDirAndFile2Dir(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testDir1File1DirAndFile2NoDir(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testDir1File1NoDirAndFile2Dir(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort0File1TitleBigger(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort0File2TitleBigger(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort0TitleSame(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort1File1DateLastest(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort1File2DateLastest(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort1FileDateSame(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort2File1DirAndFile1TitleBigger(),6,6,39,33,4.53%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort2File1DirAndFile2TitleBigger(),6,6,39,33,4.53%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort2File2DirAndFile1TitleBigger(),6,6,39,33,4.53%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort2File2DirAndFile2TitleBigger(),6,6,39,33,4.53%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort2File2DirAndFileTitleSame(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort2NoDirAndFile1SizeBigger(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort2NoDirAndFile2SizeBigger(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort2NoDirAndFileSizeSame(),5,5,38,33,4.42%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort3FileExtensionSameAndFile1TitleBigger(),7,7,40,33,4.65%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort3FileExtensionSameAndFile2TitleBigger(),7,7,40,33,4.65%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSort3FileExtensionSameAndFileTitleSame(),6,6,39,33,4.53%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileListSorterTest.testSortAnotherNumber(),4,4,37,33,4.30%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.applyNewDocFlag(Intent),0,0,10,10,1.27%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.canGoBack(Context,HybridFile)",3,1,15,13,1.90%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.canListFiles(File),0,0,3,3,0.38%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.checkForPath(Context,String,boolean)",3,1,25,22,3.17%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.copyToClipboard(Context,String)",0,0,13,13,1.65%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.crossfade(View,View)",7,0,23,16,2.92%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.crossfadeInverse(View,View)",7,0,23,16,2.92%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.folderSize(File,OnProgressUpdate<Long>)",1,0,15,15,1.90%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.folderSize(HybridFile,OnProgressUpdate<Long>)",0,0,4,4,0.51%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.folderSize(SmbFile),0,0,12,12,1.52%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.folderSizeCloud(OpenMode,CloudMetaData)",0,0,14,14,1.77%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.folderSizeSftp(SFTPClient,String)",8,9,23,13,2.92%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.fromContentUri(Uri),0,0,8,8,1.01%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.getBaseFileSize(HybridFileParcelable,Context)",0,0,7,7,0.89%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.getColonPosition(String[]),0,0,6,6,0.76%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.getFolderNamesInPath(String),0,0,8,8,1.01%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.getLinkPosition(String[]),0,0,6,6,0.76%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.getPathsInPath(String),10,12,47,35,5.96%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.getSpaces(HybridFile,Context,OnProgressUpdate<Long[]>)",0,0,12,12,1.52%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.getTotalBytes(ArrayList<HybridFileParcelable>,Context)",1,1,8,7,1.01%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.hybridListToFileArrayList(ArrayList<HybridFileParcelable>),1,1,8,7,1.01%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.installApk(File,PermissionsActivity)",4,6,32,26,4.06%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.isCompressedFile(String),1,1,5,4,0.63%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.isPathAccessible(String,SharedPreferences)",1,0,11,10,1.39%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.isRoot(String),1,0,6,6,0.76%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.isSelfDefault(File,Context)",0,0,11,11,1.39%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.isStorage(String),0,0,4,4,0.51%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openFile(DocumentFile,MainActivity,SharedPreferences)",1,1,12,11,1.52%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openFile(File,MainActivity,SharedPreferences)",0,0,27,27,3.42%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openFileDialogFragmentFor(DocumentFile,MainActivity)",0,0,5,5,0.63%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openFileDialogFragmentFor(File,MainActivity)",0,0,5,5,0.63%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openFileDialogFragmentFor(File,MainActivity,String)",0,0,9,9,1.14%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openFileDialogFragmentFor(Uri,MainActivity,String)",0,0,4,4,0.51%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openUnknownInternal(Uri,String,MainActivity,boolean,boolean)",0,0,26,26,3.30%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openWith(DocumentFile,PreferenceActivity,boolean)",0,0,4,4,0.51%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openWith(File,PreferenceActivity,boolean)",1,1,6,5,0.76%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.openWith(Uri,PreferenceActivity,boolean)",2,0,66,64,8.37%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.otgFolderSize(String,Context)",1,1,7,6,0.89%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.parse(String),0,0,19,19,2.41%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.parseName(String,boolean)",4,5,71,66,9.00%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.readableFileSizeFloat(long),0,0,4,4,0.51%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.scanFile(Context,HybridFile[])",7,9,25,16,3.17%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.scanFile(HybridFile,Context)",5,6,26,19,3.30%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.scanFile(Uri,Context)",4,6,10,4,1.27%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.shareCloudFile(String,OpenMode,Context)",0,0,17,17,2.15%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.shareFiles(ArrayList<File>,Activity,AppTheme,int)",0,0,20,20,2.53%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.splitUri(String),4,10,20,10,2.53%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.toHybridFileArrayList(LinkedList<String>),0,0,9,9,1.14%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.FileUtils.toHybridFileConcurrentRadixTree(ConcurrentRadixTree<VoidValue>),0,0,10,10,1.27%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.FileUtils.uninstallPackage(String,Context)",4,7,19,12,2.41%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtil.GenericCopyUtil(Context,ProgressHandler)",0,0,4,4,1.30%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtil.cloudCopy(OpenMode,BufferedInputStream)",2,0,20,18,6.51%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtil.copy(HybridFileParcelable,HybridFile,OnLowMemory,UpdatePosition)",4,6,16,10,5.21%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtil.copyFile(BufferedInputStream,BufferedOutputStream,UpdatePosition)",4,9,20,11,6.51%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtil.copyFile(BufferedInputStream,FileChannel,UpdatePosition)",4,8,16,8,5.21%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtil.copyFile(FileChannel,BufferedOutputStream,UpdatePosition)",4,8,16,8,5.21%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtil.copyFile(FileChannel,FileChannel,UpdatePosition)",8,7,19,8,6.19%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtil.doCopy(ReadableByteChannel,WritableByteChannel,UpdatePosition)",0,0,19,19,6.19%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtil.startCopy(boolean,OnLowMemory,UpdatePosition)",16,9,161,141,52.44%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtilEspressoTest.assertSha1Equals(byte[],File)",0,0,9,9,13.04%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilEspressoTest.doTestCopyFile1(int),1,0,10,9,14.49%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilEspressoTest.doTestCopyFile2(int),1,0,10,9,14.49%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilEspressoTest.doTestCopyFile3(int),1,0,10,9,14.49%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilEspressoTest.setUp(),0,0,10,10,14.49%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilEspressoTest.testCopyFile1(),0,0,5,5,7.25%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilEspressoTest.testCopyFile2(),0,0,5,5,7.25%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilEspressoTest.testCopyFile3(),0,0,5,5,7.25%,,,,,,,,,,
"com.amaze.filemanager.filesystem.files.GenericCopyUtilTest.assertSha1Equals(byte[],File)",0,0,9,9,16.98%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilTest.setUp(),0,0,8,8,15.09%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilTest.testCopyFile1(int),1,0,10,10,18.87%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilTest.testCopyFile2(int),1,0,10,10,18.87%,,,,,,,,,,
com.amaze.filemanager.filesystem.files.GenericCopyUtilTest.testCopyFile3(int),1,0,10,10,18.87%,,,,,,,,,,
com.amaze.filemanager.filesystem.smb.CifsContextsTest.bootstrap(),0,0,4,4,4.76%,,,,,,,,,,
com.amaze.filemanager.filesystem.smb.CifsContextsTest.tearDown(),0,0,4,4,4.76%,,,,,,,,,,
com.amaze.filemanager.filesystem.smb.CifsContextsTest.testCreateUsingCustomProperties(),0,0,8,8,9.52%,,,,,,,,,,
com.amaze.filemanager.filesystem.smb.CifsContextsTest.testCreateUsingEmptyPropeties(),0,0,5,5,5.95%,,,,,,,,,,
com.amaze.filemanager.filesystem.smb.CifsContextsTest.testCreateWithNull(),0,0,5,5,5.95%,,,,,,,,,,
com.amaze.filemanager.filesystem.smb.CifsContextsTest.testGetBaseContextFromCachedBaseContexts(),0,0,13,13,15.48%,,,,,,,,,,
com.amaze.filemanager.filesystem.smb.CifsContextsTest.testGetBaseContextShouldDifferIfSpecifyQueryParameterInPath(),3,0,20,17,23.81%,,,,,,,,,,
com.amaze.filemanager.filesystem.smb.CifsContextsTest.testRepeatedCreateWithDifferentCustomProperties(),0,0,14,14,16.67%,,,,,,,,,,
com.amaze.filemanager.filesystem.smb.CifsContextsTest.verifyCommonProperties(BaseContext),0,0,7,7,8.33%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.AbstractSftpServerTest.bootstrap(),0,0,4,4,7.41%,,,,,,,,,,
"com.amaze.filemanager.filesystem.ssh.AbstractSftpServerTest.createSshServer(FileSystemFactory,int)",0,0,20,20,37.04%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.AbstractSftpServerTest.prepareSshConnection(),0,0,5,5,9.26%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.AbstractSftpServerTest.setUp(),0,0,9,9,16.67%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.AbstractSftpServerTest.tearDown(),0,0,7,7,12.96%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.CreateFileOnSshdTest.testCreateFileNormal(),0,0,8,8,30.77%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.CreateFileOnSshdTest.testCreateFilePermissionDenied(),0,0,15,15,57.69%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.ListFilesOnSshdTest.createNecessaryDirsForSymlinkRelatedTests(),0,0,14,14,10.69%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.ListFilesOnSshdTest.performVerify(),0,0,15,15,11.45%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.ListFilesOnSshdTest.testListDirsAndBrokenSymlinks(),0,0,10,10,7.63%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.ListFilesOnSshdTest.testListDirsAndFilesAndSymlinks(),0,0,43,43,32.82%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.ListFilesOnSshdTest.testListDirsAndSymlinks(),0,0,5,5,3.82%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.ListFilesOnSshdTest.testListDirsWithDirectPathToDir(),0,0,35,35,26.72%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.ListFilesOnSshdTest.testNormalListDirs(),0,0,7,7,5.34%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.SshClientUtils.checkFolder(String),0,0,16,16,5.95%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.SshClientUtils.decryptSshPathAsNecessary(String),5,7,19,12,7.06%,,,,,,,,,,
"com.amaze.filemanager.filesystem.ssh.SshClientUtils.deriveSftpPathFrom(String,int,String,String,String,KeyPair)",2,0,15,13,5.58%,,,,,,,,,,
com.amaze.filemanager.filesystem.ssh.SshClientUtils.encryptSshPathAsNecessary(String),5,7,19,12,7.06%,,,,,,,,,,
