Lines of code metrics,Thu., 14 Oct. 2021 19:19:04 EDT,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.toString(),0,0,5,5,12.50%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.writeToParcel(Parcel,int)",0,0,6,6,15.00%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.AppsAdapterPreloadModel(Fragment,boolean)",0,0,5,5,11.11%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.getApplicationIconFromPackageName(String),0,0,8,8,17.78%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.getPreloadItems(int),0,0,6,6,13.33%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.getPreloadRequestBuilder(String),0,0,9,9,20.00%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.loadApkImage(String,ImageView)",0,0,7,7,15.56%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.AppsAdapterPreloadModel.setItemList(List<String>),0,0,3,3,6.67%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.RecyclerPreloadModelProvider.RecyclerPreloadModelProvider(Fragment,List<IconDataParcelable>,boolean)",0,0,10,10,27.78%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.RecyclerPreloadModelProvider.getPreloadItems(int),0,0,7,7,19.44%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.RecyclerPreloadModelProvider.getPreloadRequestBuilder(IconDataParcelable),0,0,13,13,36.11%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.RecyclerPreloadSizeProvider(RecyclerPreloadSizeProviderCallback),0,0,3,3,5.36%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.RecyclerPreloadSizeProviderCallback.getCorrectView(IconDataParcelable,int)",4,n/a,n/a,1,75.00%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.SizeViewTarget.SizeViewTarget(View,SizeReadyCallback)",0,0,4,4,40.00%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.SizeViewTarget.onResourceReady(Object,Transition<? super Object>)",1,0,4,3,40.00%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.addView(int,View)",6,8,14,6,25.00%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.closeOffAddition(),1,1,4,3,7.14%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.getPreloadSize(IconDataParcelable,int,int)",0,0,5,5,8.93%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.ApkImageDataFetcher(Context,String)",0,0,4,4,10.00%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.cancel(),1,0,4,3,10.00%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.cleanup(),1,0,4,3,10.00%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.getDataClass(),0,0,5,5,12.50%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.getDataSource(),0,0,5,5,12.50%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.loadData(Priority,DataCallback<? super Drawable>)",0,0,13,13,32.50%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoader.ApkImageModelLoader(Context),0,0,3,3,18.75%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoader.buildLoadData(String,int,int,Options)",0,0,5,5,31.25%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoader.handles(String),0,0,4,4,25.00%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoaderFactory.ApkImageModelLoaderFactory(Context),0,0,3,3,23.08%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoaderFactory.build(MultiModelLoaderFactory),0,0,4,4,30.77%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoaderFactory.teardown(),0,0,2,2,15.38%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelFactory.CloudIconModelFactory(Context),0,0,3,3,23.08%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelFactory.build(MultiModelLoaderFactory),0,0,4,4,30.77%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelFactory.teardown(),0,0,2,2,15.38%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelLoader.CloudIconModelLoader(Context),0,0,3,3,11.54%,,,,,,,,,,
"com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelLoader.buildLoadData(String,int,int,Options)",3,0,10,7,38.46%,,,,,,,,,,
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelLoader.handles(String),0,0,9,9,34.62%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.attachBaseContext(Context),0,0,5,5,3.16%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.getExplorerDatabase(),0,0,3,3,1.90%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.getImageLoader(),0,0,9,9,5.70%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.getInstance(),0,0,3,3,1.90%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.getMainActivityContext(),0,0,4,4,2.53%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.getScreenUtils(),0,0,3,3,1.90%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.getUtilitiesDatabase(),0,0,3,3,1.90%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.getUtilsHandler(),0,0,3,3,1.90%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.getUtilsProvider(),0,0,3,3,1.90%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.initACRA(),4,4,29,25,18.35%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.onCreate(),2,0,16,15,10.13%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.onTerminate(),0,0,4,4,2.53%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.runInApplicationThread(Runnable),4,5,8,3,5.06%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.runInBackground(Runnable),5,5,8,3,5.06%,,,,,,,,,,
com.amaze.filemanager.application.AppConfig.setMainActivityContext(Activity),0,0,4,4,2.53%,,,,,,,,,,
"com.amaze.filemanager.application.AppConfig.toast(Context,String)",6,6,19,11,12.03%,,,,,,,,,,
"com.amaze.filemanager.application.AppConfig.toast(Context,int)",6,6,19,11,12.03%,,,,,,,,,,
com.amaze.filemanager.application.AppConfigTest.tearDown(),0,0,4,4,6.67%,,,,,,,,,,
com.amaze.filemanager.application.AppConfigTest.testGetImageLoader(),0,0,10,10,16.67%,,,,,,,,,,
com.amaze.filemanager.application.AppConfigTest.testGetScreenUtils(),0,0,7,7,11.67%,,,,,,,,,,
com.amaze.filemanager.application.AppConfigTest.testGlideMemoryCategorySetToHigh(),0,0,8,8,13.33%,,,,,,,,,,
com.amaze.filemanager.application.AppConfigTest.testSetVmPolicyOnAppCreateHasNoFlags(),0,0,6,6,10.00%,,,,,,,,,,
com.amaze.filemanager.application.AppConfigTest.testToastWithNullContext(),0,0,5,5,8.33%,,,,,,,,,,
com.amaze.filemanager.application.AppConfigTest.testToastWithString(),0,0,7,7,11.67%,,,,,,,,,,
com.amaze.filemanager.application.AppConfigTest.testToastWithStringRes(),0,0,9,9,15.00%,,,,,,,,,,
com.amaze.filemanager.application.GlideApplication.onCreate(),0,0,5,5,62.50%,,,,,,,,,,
"com.amaze.filemanager.asynchronous.AbstractRepeatingRunnable.AbstractRepeatingRunnable(long,long,TimeUnit,boolean)",0,0,8,8,38.10%,,,,,,,,,,
com.amaze.filemanager.asynchronous.AbstractRepeatingRunnable.cancel(boolean),2,4,7,3,33.33%,,,,,,,,,,
com.amaze.filemanager.asynchronous.AbstractRepeatingRunnable.isAlive(),0,0,3,3,14.29%,,,,,,,,,,
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.SaveOnDataUtilsChange(Drawer),0,0,3,3,8.82%,,,,,,,,,,
"com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onBookAdded(String[],boolean)",0,0,11,11,32.35%,,,,,,,,,,
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onHiddenFileAdded(String),0,0,4,4,11.76%,,,,,,,,,,
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onHiddenFileRemoved(String),0,0,4,4,11.76%,,,,,,,,,,
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onHistoryAdded(String),0,0,4,4,11.76%,,,,,,,,,,
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onHistoryCleared(),0,0,4,4,11.76%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.AsyncTaskResult.AsyncTaskResult(T),0,0,4,4,18.18%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.AsyncTaskResult.AsyncTaskResult(Throwable),0,0,4,4,18.18%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.AsyncTaskResult.Callback.onResult(T),1,n/a,n/a,1,40.00%,,,,,,,,,,
"com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask.CloudLoaderAsyncTask(MainActivity,CloudHandler,Cursor)",0,0,6,6,1.81%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask.doInBackground(Void...),17,0,298,281,89.76%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask.onCancelled(),0,0,13,13,3.92%,,,,,,,,,,
com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask.onPostExecute(Boolean),0,0,9,9,2.71%,,,,,,,,,,
"com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.CountItemsOrAndSizeTask(Context,TextView,HybridFileParcelable,boolean)",0,0,7,7,12.07%,,,,,,,,,,
