Complexity metrics,Wed., 13 Oct. 2021 12:23:24 EDT,,
Method,CogC,ev(G),iv(G),v(G)
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.SizeViewTarget.SizeViewTarget(View,SizeReadyCallback)",0,1,1,1
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.SizeViewTarget.onResourceReady(Object,Transition<? super Object>)",0,1,1,1
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.addView(int,View)",2,2,2,3
com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.closeOffAddition(),0,1,1,1
"com.amaze.filemanager.adapters.glide.RecyclerPreloadSizeProvider.getPreloadSize(IconDataParcelable,int,int)",0,1,1,1
"com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.ApkImageDataFetcher(Context,String)",0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.cancel(),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.cleanup(),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.getDataClass(),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.getDataSource(),0,1,1,1
"com.amaze.filemanager.adapters.glide.apkimage.ApkImageDataFetcher.loadData(Priority,DataCallback<? super Drawable>)",2,1,2,2
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoader.ApkImageModelLoader(Context),0,1,1,1
"com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoader.buildLoadData(String,int,int,Options)",0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoader.handles(String),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoaderFactory.ApkImageModelLoaderFactory(Context),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoaderFactory.build(MultiModelLoaderFactory),0,1,1,1
com.amaze.filemanager.adapters.glide.apkimage.ApkImageModelLoaderFactory.teardown(),0,1,1,1
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelFactory.CloudIconModelFactory(Context),0,1,1,1
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelFactory.build(MultiModelLoaderFactory),0,1,1,1
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelFactory.teardown(),0,1,1,1
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelLoader.CloudIconModelLoader(Context),0,1,1,1
"com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelLoader.buildLoadData(String,int,int,Options)",0,1,1,1
com.amaze.filemanager.adapters.glide.cloudicon.CloudIconModelLoader.handles(String),1,1,6,6
com.amaze.filemanager.application.AppConfig.attachBaseContext(Context),0,1,1,1
com.amaze.filemanager.application.AppConfig.getExplorerDatabase(),0,1,1,1
com.amaze.filemanager.application.AppConfig.getImageLoader(),2,1,2,3
com.amaze.filemanager.application.AppConfig.getInstance(),0,1,1,1
com.amaze.filemanager.application.AppConfig.getMainActivityContext(),0,1,1,1
com.amaze.filemanager.application.AppConfig.getScreenUtils(),0,1,1,1
com.amaze.filemanager.application.AppConfig.getUtilitiesDatabase(),0,1,1,1
com.amaze.filemanager.application.AppConfig.getUtilsHandler(),0,1,1,1
com.amaze.filemanager.application.AppConfig.getUtilsProvider(),0,1,1,1
com.amaze.filemanager.application.AppConfig.initACRA(),2,2,2,3
com.amaze.filemanager.application.AppConfig.onCreate(),0,1,1,1
com.amaze.filemanager.application.AppConfig.onTerminate(),0,1,1,1
com.amaze.filemanager.application.AppConfig.runInApplicationThread(Runnable),0,1,1,1
com.amaze.filemanager.application.AppConfig.runInBackground(Runnable),0,1,1,1
com.amaze.filemanager.application.AppConfig.setMainActivityContext(Activity),0,1,1,1
"com.amaze.filemanager.application.AppConfig.toast(Context,String)",3,2,3,4
"com.amaze.filemanager.application.AppConfig.toast(Context,int)",3,2,3,4
com.amaze.filemanager.application.AppConfigTest.tearDown(),0,1,1,1
com.amaze.filemanager.application.AppConfigTest.testGetImageLoader(),0,1,1,1
com.amaze.filemanager.application.AppConfigTest.testGetScreenUtils(),0,1,1,1
com.amaze.filemanager.application.AppConfigTest.testGlideMemoryCategorySetToHigh(),0,1,1,1
com.amaze.filemanager.application.AppConfigTest.testSetVmPolicyOnAppCreateHasNoFlags(),0,1,1,1
com.amaze.filemanager.application.AppConfigTest.testToastWithNullContext(),0,1,1,1
com.amaze.filemanager.application.AppConfigTest.testToastWithString(),0,1,1,1
com.amaze.filemanager.application.AppConfigTest.testToastWithStringRes(),0,1,1,1
com.amaze.filemanager.application.GlideApplication.onCreate(),0,1,1,1
"com.amaze.filemanager.asynchronous.AbstractRepeatingRunnable.AbstractRepeatingRunnable(long,long,TimeUnit,boolean)",1,2,1,2
com.amaze.filemanager.asynchronous.AbstractRepeatingRunnable.cancel(boolean),0,1,1,1
com.amaze.filemanager.asynchronous.AbstractRepeatingRunnable.isAlive(),0,1,1,1
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.SaveOnDataUtilsChange(Drawer),0,1,1,1
"com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onBookAdded(String[],boolean)",3,1,3,3
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onHiddenFileAdded(String),0,1,1,1
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onHiddenFileRemoved(String),0,1,1,1
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onHistoryAdded(String),0,1,1,1
com.amaze.filemanager.asynchronous.SaveOnDataUtilsChange.onHistoryCleared(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.AsyncTaskResult.AsyncTaskResult(T),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.AsyncTaskResult.AsyncTaskResult(Throwable),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask.CloudLoaderAsyncTask(MainActivity,CloudHandler,Cursor)",0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask.doInBackground(Void...),207,9,45,51
com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask.onCancelled(),1,1,2,2
com.amaze.filemanager.asynchronous.asynctasks.CloudLoaderAsyncTask.onPostExecute(Boolean),3,1,3,3
"com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.CountItemsOrAndSizeTask(Context,TextView,HybridFileParcelable,boolean)",0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.doInBackground(Void[]),5,1,3,3
"com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.getText(int,long,boolean)",2,1,1,3
com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.onPostExecute(String),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.CountItemsOrAndSizeTask.onProgressUpdate(Pair<Integer, Long>[])",0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.DbViewerTask(Cursor,Cursor,WebView,DbViewerFragment)",0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.doInBackground(Void...),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.getDbTableDetails(Cursor),11,3,4,9
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.getDbTableSchema(Cursor),4,3,3,3
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.onCancelled(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.onPostExecute(Void),4,1,4,4
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.onPreExecute(),3,1,2,3
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTask.onProgressUpdate(Integer...),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.setUp(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.tearDown(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.testCompleteTask(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.testExecute(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DbViewerTaskTest.testOnPreExecute(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.DeleteTask(Context),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.DeleteTask(Context,CompressedExplorerFragment)",0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.deleteFromMediaDatabase(Context,String)",0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.doDeleteFile(HybridFileParcelable),5,1,6,6
com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.doInBackground(ArrayList<HybridFileParcelable>...),13,4,5,8
com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.onPostExecute(AsyncTaskResult<Boolean>),5,1,5,6
com.amaze.filemanager.asynchronous.asynctasks.DeleteTask.onProgressUpdate(String...),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.GenerateHashesTask.GenerateHashesTask(HybridFileParcelable,Context,View)",0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.GenerateHashesTask.createChecksum(),3,1,3,3
com.amaze.filemanager.asynchronous.asynctasks.GenerateHashesTask.doInBackground(Void...),11,3,4,6
com.amaze.filemanager.asynchronous.asynctasks.GenerateHashesTask.getMD5Checksum(),1,1,2,2
com.amaze.filemanager.asynchronous.asynctasks.GenerateHashesTask.getSHA256Checksum(),6,1,5,5
com.amaze.filemanager.asynchronous.asynctasks.GenerateHashesTask.onPostExecute(String[]),3,1,3,3
"com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.LoadFilesListTask(Context,String,MainFragment,OpenMode,boolean,boolean,OnAsyncTaskFinished<Pair<OpenMode, ArrayList<LayoutElementParcelable>>>)",0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.createListParcelables(HybridFileParcelable),10,3,5,7
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.doInBackground(Void...),53,3,24,41
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listApks(),19,3,10,10
"com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listCloud(String,CloudStorage,OpenMode,OnFileFound)",2,3,2,3
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listDocs(),20,3,30,30
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listDocumentFiles(OnFileFound),1,2,2,2
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listImages(),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listMediaCommon(Uri,String[],String)",13,3,8,8
"com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listOtg(String,OnFileFound)",1,2,2,2
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listRecent(),17,2,9,9
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listRecentFiles(),19,3,9,10
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listVideos(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.listaudio(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.onCancelled(),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.LoadFilesListTask.onPostExecute(Pair<OpenMode, ArrayList<LayoutElementParcelable>>)",0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.LoadFolderSpaceDataTask.LoadFolderSpaceDataTask(Context,AppTheme,PieChart,HybridFileParcelable)",0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.LoadFolderSpaceDataTask.createEntriesFromArray(long[],boolean)",2,1,1,3
com.amaze.filemanager.asynchronous.asynctasks.LoadFolderSpaceDataTask.doInBackground(Void...),2,2,2,3
"com.amaze.filemanager.asynchronous.asynctasks.LoadFolderSpaceDataTask.onPostExecute(Pair<String, List<PieEntry>>)",1,2,2,2
com.amaze.filemanager.asynchronous.asynctasks.LoadFolderSpaceDataTask.onProgressUpdate(Long[]),2,1,2,3
"com.amaze.filemanager.asynchronous.asynctasks.LoadFolderSpaceDataTask.updateChart(String,List<PieEntry>)",1,1,1,2
"com.amaze.filemanager.asynchronous.asynctasks.MoveFiles.MoveFiles(ArrayList<ArrayList<HybridFileParcelable>>,boolean,String,Context,OpenMode)",0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.MoveFiles.doInBackground(ArrayList<String>...),46,9,12,15
com.amaze.filemanager.asynchronous.asynctasks.MoveFiles.getOperationSupportedFileSystem(),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.MoveFiles.isMoveOperationValid(HybridFileParcelable,HybridFile)",1,1,2,2
com.amaze.filemanager.asynchronous.asynctasks.MoveFiles.onPostExecute(Boolean),36,3,13,13
com.amaze.filemanager.asynchronous.asynctasks.MoveFilesTest.setUp(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.MoveFilesTest.testMoveFilesUsingSftp(),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.CopyNode.CopyNode(String,ArrayList<HybridFileParcelable>)",6,1,3,4
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.CopyNode.getConflictingFiles(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.CopyNode.getFilesToCopy(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.CopyNode.getPath(),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.CopyNode.getUnvisitedChildNode(Set<CopyNode>,CopyNode)",3,3,2,3
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.CopyNode.goToNextNode(),6,3,3,3
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.CopyNode.hasStarted(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.CopyNode.startCopy(),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.PrepareCopyTask(String,Boolean,MainActivity,boolean,OpenMode)",0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.checkConflicts(ArrayList<HybridFileParcelable>,HybridFile)",5,1,3,3
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.doInBackground(ArrayList<HybridFileParcelable>...),6,3,5,12
"com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.doNotReplaceFiles(String,ArrayList<HybridFileParcelable>,ArrayList<HybridFileParcelable>)",7,1,4,4
"com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.finishCopying(ArrayList<String>,ArrayList<ArrayList<HybridFileParcelable>>)",21,1,9,10
"com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.onEndDialog(String,ArrayList<HybridFileParcelable>,ArrayList<HybridFileParcelable>)",18,1,12,12
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.onPostExecute(CopyNode),5,3,3,8
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.onPreExecute(),0,1,1,1
com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.onProgressUpdate(String...),0,1,1,1
"com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.replaceFiles(String,ArrayList<HybridFileParcelable>,ArrayList<HybridFileParcelable>)",4,1,3,3
"com.amaze.filemanager.asynchronous.asynctasks.PrepareCopyTask.showDialog(String,ArrayList<HybridFileParcelable>,ArrayList<HybridFileParcelable>)",5,1,2,4
